too long...

root@comp3134-Winter2023:~# tcpdump -i eth0 port 22

net.cable.rogers.com.59547: Flags [P.], seq 5218036:5218248, ack 2737, win 570, length 212
20:35:29.282250 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5218248:5218460, ack 2737, win 570, length 212
20:35:29.282296 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5218460:5218672, ack 2737, win 570, length 212
20:35:29.282349 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5218672:5218884, ack 2737, win 570, length 212
20:35:29.282395 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5218884:5219096, ack 2737, win 570, length 212
20:35:29.282440 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5219096:5219308, ack 2737, win 570, length 212
20:35:29.282479 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5219308:5219520, ack 2737, win 570, length 212
20:35:29.282512 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5219520:5219732, ack 2737, win 570, length 212
20:35:29.282545 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5219732:5219944, ack 2737, win 570, length 212
20:35:29.282577 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5219944:5220156, ack 2737, win 570, length 212
20:35:29.282610 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5220156:5220368, ack 2737, win 570, length 212
20:35:29.282644 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5220368:5220580, ack 2737, win 570, length 212
20:35:29.282689 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5220580:5220792, ack 2737, win 570, length 212
20:35:29.282721 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5220792:5221004, ack 2737, win 570, length 212
20:35:29.282755 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5221004:5221216, ack 2737, win 570, length 212
20:35:29.282789 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5221216:5221428, ack 2737, win 570, length 212
20:35:29.282821 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5221428:5221640, ack 2737, win 570, length 212
20:35:29.282853 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5221640:5221852, ack 2737, win 570, length 212
20:35:29.282886 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5221852:5222064, ack 2737, win 570, length 212
20:35:29.282921 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5222064:5222276, ack 2737, win 570, length 212
20:35:29.282955 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5222276:5222488, ack 2737, win 570, length 212
20:35:29.282987 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5222488:5222700, ack 2737, win 570, length 212
20:35:29.283028 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5222700:5222912, ack 2737, win 570, length 212
20:35:29.283069 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5222912:5223124, ack 2737, win 570, length 212
20:35:29.283102 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5223124:5223336, ack 2737, win 570, length 212
20:35:29.283135 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5223336:5223548, ack 2737, win 570, length 212
20:35:29.283168 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5223548:5223760, ack 2737, win 570, length 212
20:35:29.283203 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5223760:5223972, ack 2737, win 570, length 212
20:35:29.283236 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5223972:5224184, ack 2737, win 570, length 212
20:35:29.283268 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5224184:5224396, ack 2737, win 570, length 212
20:35:29.283302 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5224396:5224608, ack 2737, win 570, length 212
20:35:29.283335 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5224608:5224820, ack 2737, win 570, length 212
20:35:29.283368 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5224820:5225032, ack 2737, win 570, length 212
20:35:29.283400 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5225032:5225244, ack 2737, win 570, length 212
20:35:29.283432 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5225244:5225456, ack 2737, win 570, length 212
20:35:29.283468 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5225456:5225668, ack 2737, win 570, length 212
20:35:29.283502 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5225668:5225880, ack 2737, win 570, length 212
20:35:29.283534 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5225880:5226092, ack 2737, win 570, length 212
20:35:29.283568 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5226092:5226304, ack 2737, win 570, length 212
20:35:29.283642 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5226304:5226516, ack 2737, win 570, length 212
