too long...

root@comp3134-Winter2023:~# 20:29:02.771708 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 610192:610348, ack 325, win 570, length 156
20:29:02.771796 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 610348:610504, ack 325, win 570, length 156
20:29:02.771848 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 610504:610660, ack 325, win 570, length 156
20:29:02.771887 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 610660:610816, ack 325, win 570, length 156
20:29:02.771940 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 610816:610972, ack 325, win 570, length 156
20:29:02.771991 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 610972:611128, ack 325, win 570, length 156
20:29:02.772036 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 611128:611284, ack 325, win 570, length 156
20:29:02.772083 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 611284:611440, ack 325, win 570, length 156
20:29:02.772302 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 611440:611596, ack 325, win 570, length 156
20:29:02.772420 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 611596:611752, ack 325, win 570, length 156
20:29:02.772463 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 611752:611908, ack 325, win 570, length 156
20:29:02.772702 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 611908:612064, ack 325, win 570, length 156
20:29:02.772973 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 612064:612220, ack 325, win 570, length 156
20:29:02.773335 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 612220:612376, ack 325, win 570, length 156
20:29:02.773447 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 612376:612532, ack 325, win 570, length 156
20:29:02.773493 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 612532:612688, ack 325, win 570, length 156
20:29:02.773545 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 612688:612844, ack 325, win 570, length 156
20:29:02.773597 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 612844:613000, ack 325, win 570, length 156
20:29:02.773650 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 613000:613156, ack 325, win 570, length 156
20:29:02.773705 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 613156:613312, ack 325, win 570, length 156
20:29:02.773760 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 613312:613468, ack 325, win 570, length 156
20:29:02.773805 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 613468:613624, ack 325, win 570, length 156
20:29:02.773842 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 613624:613780, ack 325, win 570, length 156
20:29:02.773886 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 613780:613936, ack 325, win 570, length 156
20:29:02.773936 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 613936:614092, ack 325, win 570, length 156
20:29:02.774003 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 614092:614248, ack 325, win 570, length 156
20:29:02.774055 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 614248:614404, ack 325, win 570, length 156
20:29:02.774110 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 614404:614560, ack 325, win 570, length 156
20:29:02.774328 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 614560:614716, ack 325, win 570, length 156
20:29:02.774441 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 614716:614872, ack 325, win 570, length 156
20:29:02.774509 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 614872:615028, ack 325, win 570, length 156
20:29:02.774566 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 615028:615184, ack 325, win 570, length 156
20:29:02.774618 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 615184:615340, ack 325, win 570, length 156
20:29:02.774687 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 615340:615496, ack 325, win 570, length 156
20:29:02.774737 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 615496:615652, ack 325, win 570, length 156
20:29:02.774787 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 615652:615808, ack 325, win 570, length 156
20:29:02.774834 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 615808:615964, ack 325, win 570, length 156
20:29:02.774882 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 615964:616120, ack 325, win 570, length 156
20:29:02.774936 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 616120:616276, ack 325, win 570, length 156
20:29:02.774983 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 616276:616432, ack 325, win 570, length 156
20:29:02.775030 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 616432:616588, ack 325, win 570, length 156
20:29:02.775076 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 616588:616744, ack 325, win 570, length 156
20:29:02.775123 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 616744:616900, ack 325, win 570, length 156
20:29:02.775170 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 616900:617056, ack 325, win 570, length 156
20:29:02.775698 IP 99.230.69.122.59547 > 159.203.27.150.22: Flags [.], ack 589844, win 17976, length 0
20:29:02.775744 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 617056:617212, ack 325, win 570, length 156
20:29:02.775872 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 617212:617472, ack 325, win 570, length 260
20:29:02.775926 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 617472:617628, ack 325, win 570, length 156
20:29:02.775971 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 617628:617784, ack 325, win 570, length 156
20:29:02.776016 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 617784:617940, ack 325, win 570, length 156
20:29:02.776225 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 617940:618096, ack 325, win 570, length 156
20:29:02.776288 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 618096:618252, ack 325, win 570, length 156
20:29:02.776346 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 618252:618408, ack 325, win 570, length 156
20:29:02.776395 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 618408:618564, ack 325, win 570, length 156
20:29:02.776440 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 618564:618720, ack 325, win 570, length 156
20:29:02.776564 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 618720:618876, ack 325, win 570, length 156
20:29:02.776748 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 618876:619032, ack 325, win 570, length 156
20:29:02.776814 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 619032:619188, ack 325, win 570, length 156
20:29:02.776865 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 619188:619344, ack 325, win 570, length 156
20:29:02.776915 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 619344:619500, ack 325, win 570, length 156
20:29:02.776962 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 619500:619656, ack 325, win 570, length 156
20:29:02.777037 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 619656:619812, ack 325, win 570, length 156
20:29:02.777100 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 619812:619968, ack 325, win 570, length 156
20:29:02.777153 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 619968:620124, ack 325, win 570, length 156
20:29:02.777209 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 620124:620280, ack 325, win 570, length 156
20:29:02.777450 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 620280:620436, ack 325, win 570, length 156
20:29:02.777517 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 620436:620592, ack 325, win 570, length 156
